,explanation,absolute,normalisation,similarity_func,baseline_strategy,subset_size,iterations,faithfulness_score
288,Saliency,True,False,Pearson,Random,2,50,-0.048845084369473
289,IntegratedGradients,True,False,Pearson,Random,2,50,0.0023635660523702
290,FusionGrad,True,False,Pearson,Random,2,50,0.092127156397915
291,Saliency,True,False,Spearman,Random,2,50,-0.029271137026239
292,IntegratedGradients,True,False,Spearman,Random,2,50,0.0200171497170296
293,FusionGrad,True,False,Spearman,Random,2,50,-0.0228434230835191
294,Saliency,True,False,Pearson,Random,2,100,-0.0377556948824269
295,IntegratedGradients,True,False,Pearson,Random,2,100,0.0215783453272427
296,FusionGrad,True,False,Pearson,Random,2,100,0.0411479976316295
297,Saliency,True,False,Spearman,Random,2,100,0.0096146757532896
298,IntegratedGradients,True,False,Spearman,Random,2,100,0.0491989198919892
299,FusionGrad,True,False,Spearman,Random,2,100,-0.0368522566542368
300,Saliency,True,False,Pearson,Random,112,50,-0.0385521385328967
301,IntegratedGradients,True,False,Pearson,Random,112,50,0.0143596413860273
302,FusionGrad,True,False,Pearson,Random,112,50,-0.0260730977951866
303,Saliency,True,False,Spearman,Random,112,50,-0.0103858686331675
304,IntegratedGradients,True,False,Spearman,Random,112,50,0.0178082661636083
305,FusionGrad,True,False,Spearman,Random,112,50,0.0019482078545703
306,Saliency,True,False,Pearson,Random,112,100,-0.0180742584463623
307,IntegratedGradients,True,False,Pearson,Random,112,100,-0.0018245082582954
308,FusionGrad,True,False,Pearson,Random,112,100,0.014272276674395
309,Saliency,True,False,Spearman,Random,112,100,-0.018078093523638
310,IntegratedGradients,True,False,Spearman,Random,112,100,0.0299875701855899
311,FusionGrad,True,False,Spearman,Random,112,100,0.0127126998414127
312,Saliency,True,False,Pearson,Random,224,50,-0.0855602001889623
313,IntegratedGradients,True,False,Pearson,Random,224,50,-0.0073204802078865
314,FusionGrad,True,False,Pearson,Random,224,50,0.0207287885617709
315,Saliency,True,False,Spearman,Random,224,50,-0.0193311610358429
316,IntegratedGradients,True,False,Spearman,Random,224,50,0.0671102726805007
317,FusionGrad,True,False,Spearman,Random,224,50,0.0340799176813582
318,Saliency,True,False,Pearson,Random,224,100,0.0075149179915805
319,IntegratedGradients,True,False,Pearson,Random,224,100,0.0068751321780012
320,FusionGrad,True,False,Pearson,Random,224,100,0.0200593841421924
321,Saliency,True,False,Spearman,Random,224,100,-0.0232994728044232
322,IntegratedGradients,True,False,Spearman,Random,224,100,0.0041909905276241
323,FusionGrad,True,False,Spearman,Random,224,100,0.013096738245253
324,Saliency,True,False,Pearson,Random,1792,50,0.0098846078553541
325,IntegratedGradients,True,False,Pearson,Random,1792,50,0.0075175409364334
326,FusionGrad,True,False,Pearson,Random,1792,50,-0.0003074642655008
327,Saliency,True,False,Spearman,Random,1792,50,-0.0583501972217458
328,IntegratedGradients,True,False,Spearman,Random,1792,50,0.063467672783399
329,FusionGrad,True,False,Spearman,Random,1792,50,0.01968787515006
330,Saliency,True,False,Pearson,Random,1792,100,0.0213980314755308
331,IntegratedGradients,True,False,Pearson,Random,1792,100,-0.0355490458036726
332,FusionGrad,True,False,Pearson,Random,1792,100,-0.0077683347155315
333,Saliency,True,False,Spearman,Random,1792,100,-0.0288465989456088
334,IntegratedGradients,True,False,Spearman,Random,1792,100,0.0415215807295015
335,FusionGrad,True,False,Spearman,Random,1792,100,0.0463169174060263
336,Saliency,True,False,Pearson,Uniform,2,50,-0.0291642535798243
337,IntegratedGradients,True,False,Pearson,Uniform,2,50,-0.0471640763737776
338,FusionGrad,True,False,Pearson,Uniform,2,50,0.0510734904319968
339,Saliency,True,False,Spearman,Uniform,2,50,0.0112502143714628
340,IntegratedGradients,True,False,Spearman,Uniform,2,50,0.0243457382953181
341,FusionGrad,True,False,Spearman,Uniform,2,50,0.0507288629737609
342,Saliency,True,False,Pearson,Uniform,2,100,0.0275777258680014
343,IntegratedGradients,True,False,Pearson,Uniform,2,100,-0.0551098675020577
344,FusionGrad,True,False,Pearson,Uniform,2,100,-0.011857607815286
345,Saliency,True,False,Spearman,Uniform,2,100,0.0057691483434057
346,IntegratedGradients,True,False,Spearman,Uniform,2,100,-0.0132673267326732
